rank,rating,prospect,position,state,school,status
1435,0.8328,Dru Polidore,CB,TX,Air Force,X
1589,0.8265,Zach Myers,SDE,IL,Air Force,X
1610,0.8254,Dominik Calhoun,ILB,TX,Air Force,Offer
1738,0.8173,Braylon Fowler,WR,FL,Air Force,X
1935,0.8003,Dillon Gilbert,OG,OK,Air Force,X
1950,0.7953,Carter Neuman,TE,OR,Air Force,X
1952,0.7953,TJ Urban,QB,NE,Air Force,X
1997,0.7831,Cameron Breier,OLB,WA,Air Force,X
2002,0.7792,Terrance Kamara,RB,MN,Air Force,
2014,0.7731,Jadon Furubotten,OT,CA,Air Force,X
2021,0.753,Terrell Dillworth,WR,OH,Air Force,X
1490,0.8315,Kameren Epps,OT,GA,Akron,X
1528,0.8297,Michael Maginnis,QB,GA,Akron,Offer
1643,0.8227,Diego Neri,ILB,OH,Akron,Offer
1972,0.7903,Gavin Malott,OT,KY,Akron,X
1987,0.7853,Rishad Hence,CB,MI,Akron,X
5,0.9972,Tommy Brockermeyer,OT,TX,Alabama,X
14,0.9892,Damon Payne,DT,MI,Alabama,X
16,0.989,JC Latham,OT,FL,Alabama,X
26,0.9844,Jacorey Brooks,WR,FL,Alabama,X
43,0.9769,Dallas Turner,WDE,FL,Alabama,X
46,0.976,Terrence Ferguson,OG,GA,Alabama,X
63,0.9689,Xavian Sorey,OLB,FL,Alabama,CB
70,0.9658,Agiye Hall,WR,FL,Alabama,X
110,0.9494,Deontae Lawson,ILB,AL,Alabama,X
112,0.9482,Monkell Goodwine,SDE,MD,Alabama,CB
117,0.9459,Shemar Turner,SDE,TX,Alabama,Warm
124,0.943,Christian Leary,WR,FL,Alabama,X
150,0.9329,Kendrick Blackshire,ILB,TX,Alabama,X
153,0.932,Kaine Williams,S,LA,Alabama,X
186,0.9234,Terrion Arnold,S,FL,Alabama,CB
187,0.923,James Brockermeyer,OC,TX,Alabama,X
191,0.9224,Malcolm Johnson Jr.,WR,VA,Alabama,CB
232,0.9111,Ian Jackson,OLB,AL,Alabama,X
363,0.8885,Kadarius Calloway,ATH,MS,Alabama,X
401,0.8843,Devonta Smith,CB,OH,Alabama,X
490,0.8743,Anquin Barnes,DT,AL,Alabama,X
690,0.8627,Robbie Ouzts,TE,SC,Alabama,CB
774,0.8588,Ross Maseuli,OG,CA,Alabama,Warm
783,0.8581,Jaden Lindsay,OG,NC,Appalachian State,X
878,0.8548,Colston Powers,OT,VA,Appalachian State,X
926,0.853,Da'Shawn Brown,WR,SC,Appalachian State,X
1007,0.8505,DC Tabscott,QB,TN,Appalachian State,X
1036,0.8492,Jordan Favors,S,GA,Appalachian State,X
1099,0.8468,Troy Everett,OG,VA,Appalachian State,X
1166,0.8444,Dalton Stroman,WR,NC,Appalachian State,X
1285,0.8399,Deshawn McKnight,OLB,SC,Appalachian State,X
1359,0.8366,Sergio Morancy,WR,FL,Appalachian State,Offer
1393,0.8356,Jaquan Lowman,S,FL,Appalachian State,X
1410,0.8348,Andre Goodman,ATH,SC,Appalachian State,X
1456,0.8317,Jayden Ramsey,OT,SC,Appalachian State,X
1573,0.827,Cole Essek,OT,FL,Appalachian State,X
1593,0.8265,Caden Sullivan,S,SC,Appalachian State,X
1675,0.8208,David Larkins,TE,OH,Appalachian State,X
1697,0.8204,Banks Pope,TE,SC,Appalachian State,X
1702,0.8204,KaRon White,DT,AL,Appalachian State,X
1823,0.8106,Travis McNichols,CB,FL,Appalachian State,X
1849,0.8092,Charlie Ely,ILB,KY,Appalachian State,X
1886,0.8053,Justin Isler,WDE,GA,Appalachian State,X
1961,0.7944,Ibri Harrell,WDE,VA,Appalachian State,X
420,0.8806,Clay Millen,QB,WA,Arizona,X
482,0.8755,Tyrese Johnson,WR,LA,Arizona,X
896,0.854,Zamajay Duncan,CB,CA,Arizona,Offer
1024,0.8498,Montrell Johnson,RB,LA,Arizona,X
1115,0.8465,Cole Batson,ATH,CA,Arizona,X
1126,0.8465,Ja'Marian Peterson,SDE,LA,Arizona,X
1170,0.8444,Jackson Bailey,OLB,TX,Arizona,X
1171,0.8444,Kolbe Cage,OLB,LA,Arizona,X
1173,0.8444,KC Ossai,ILB,TX,Arizona,X
1198,0.843,Stevie Rocker,RB,AZ,Arizona,X
1237,0.8416,Kevon Garcia,WDE,TX,Arizona,X
1253,0.841,DJ Fryar,ILB,WA,Arizona,X
1266,0.841,Ja'Quez Harvey,SDE,CA,Arizona,X
1271,0.841,Dalton Johnson,S,TX,Arizona,X
1397,0.8356,Matthew Weerts,ILB,IL,Arizona,X
1551,0.8282,JT Hand,OC,CA,Arizona,X
1562,0.8282,Logan Kraut,ATH,CA,Arizona,X
1627,0.8247,Colby Powers,TE,TX,Arizona,X
1791,0.8139,Luke Eckardt,OT,IL,Arizona,X
1808,0.8118,Evan Branch-Haynes,DT,CA,Arizona,X
1817,0.8115,Antonio Robinson,WR,TX,Arizona,Offer
2500,0.8367,Alex Navarro-Silva,SDE,JUCO,Arizona,X
5000,0.82,Cade Parrish,OT,JUCO,Arizona,X
78,0.9647,Isaiah Johnson,CB,CA,Arizona State,X
281,0.9012,Tommi Hill,ATH,FL,Arizona State,X
388,0.8858,Junior Alexander,WR,WA,Arizona State,X
434,0.8789,Jaydon Williams,OLB,TX,Arizona State,X
501,0.8742,Robert Regan,CB,CA,Arizona State,X
573,0.8693,Robert Jackson,SDE,PA,Arizona State,Warm
657,0.8643,Erick Cade,OT,TX,Arizona State,Warm
672,0.8635,Finn Collins,QB,CA,Arizona State,X
708,0.8619,Eric Gentry,WDE,PA,Arizona State,X
721,0.8614,Austin Barry,OT,CA,Arizona State,X
843,0.8559,Marcus Mbow,OT,WI,Arizona State,X
894,0.854,Caleb Banks,SDE,MI,Arizona State,X
900,0.854,Gharin Stansbury,WDE,LA,Arizona State,X
1085,0.8477,Krew Jackson,S,AZ,Arizona State,CB
1154,0.8452,Kamron Beachem,ATH,CA,Arizona State,X
1184,0.8431,Garrett Gillette,TE,WI,Arizona State,X
1185,0.8431,Charles Armstrong,OT,FL,Arizona State,Offer
1191,0.8431,Isaia Glass,OT,AZ,Arizona State,X
1257,0.841,Vance Jefferson,WR,CA,Arizona State,Warm
1333,0.8376,Isaiah Pipkin,OLB,NC,Arizona State,X
1373,0.8364,Martin Lucas,RB,VA,Arizona State,X
1460,0.8315,Brody Crane,OC,CA,Arizona State,Warm
1655,0.8215,Isaiah World,OT,CA,Arizona State,X
5000,0.81,Edward Czaplicki,K,NC,Arizona State,X
179,0.9246,AJ Green,ATH,OK,Arkansas,X
269,0.9039,Ahmonte Watkins,RB,TX,Arkansas,Offer
396,0.8851,Javion Hunt,RB,OK,Arkansas,X
402,0.8843,Raheim Sanders,ATH,FL,Arkansas,X
415,0.881,Malik McClain,WR,FL,Arkansas,Offer
433,0.8789,Terry Wells,OT,AR,Arkansas,X
478,0.8755,Keuan Parker,CB,OK,Arkansas,X
499,0.8742,Cole Carson,OT,TX,Arkansas,X
532,0.8721,Bryce Stephens,WR,OK,Arkansas,X
656,0.8643,Lucas Coley,QB,TX,Arkansas,X
710,0.8619,Solomon Wright,DT,OK,Arkansas,X
719,0.8614,Christopher Paul Jr.,ILB,GA,Arkansas,X
784,0.858,Torey Phillips,DT,TX,Arkansas,Offer
809,0.8573,Marco Avant,OLB,AR,Arkansas,X
840,0.8561,Jermaine Hamilton-Jordan,OLB,MO,Arkansas,X
890,0.854,Jaedon Wilson,WR,TX,Arkansas,X
946,0.8519,Chase Lowery,CB,TX,Arkansas,X
959,0.8519,Devon Manuel,OT,LA,Arkansas,X
1000,0.8506,Landon Rogers,QB,AR,Arkansas,X
1133,0.8464,Erin Outley,TE,AR,Arkansas,CB
1748,0.8165,Charlie Sims,OG,MI,Arkansas,CB
1757,0.8165,Cameron Little,K,OK,Arkansas,X
3000,0.84,Arvell Ferguson,WDE,JUCO,Arkansas,Warm
578,0.8688,Marvin Martin,S,MS,Arkansas State,Offer
823,0.8572,Michael Lunz,ILB,KY,Arkansas State,X
1281,0.8403,Corey Platt Jr.,ATH,AR,Arkansas State,X
1307,0.8389,Marlon Crockett,WR,AR,Arkansas State,X
1315,0.8378,Wyatt Begeal,QB,TX,Arkansas State,X
1432,0.8335,ZaBrien Harden,ILB,GA,Arkansas State,X
1463,0.8315,Justin Parks,CB,AL,Arkansas State,X
1520,0.8302,Makilan Thomas,OG,AR,Arkansas State,X
1556,0.8282,Omari Walker,WR,TX,Arkansas State,X
1614,0.8254,Xavier Evans,RB,MS,Arkansas State,X
1636,0.8234,Eli Blakey,ATH,KY,Arkansas State,X
1650,0.8215,Delvon Fegans,CB,AL,Arkansas State,Warm
1718,0.8186,Aiden Logan,OT,MO,Arkansas State,X
1836,0.8104,Leroy Watson Jr.,CB,MI,Army,X
1954,0.7953,Noah Alexander,RB,OK,Army,X
1968,0.7903,Da'Veon Turner,CB,MI,Army,X
2010,0.7742,Hayden Reed,RB,FL,Army,X
22,0.9873,Ga'Quincy McKinstry,CB,AL,Auburn,CB
55,0.9735,Lee Hunter,DT,AL,Auburn,X
89,0.9602,Armoni Goodwin,RB,AL,Auburn,X
103,0.9523,Jeremiah Williams,WDE,AL,Auburn,CB
146,0.9355,Jaeden Roberts,OG,TX,Auburn,X
155,0.9311,Dematrius Davis,QB,TX,Auburn,X
173,0.9258,Jaquez Smith,WR,GA,Auburn,Offer
178,0.9249,Ahmari Harvey,S,FL,Auburn,CB
278,0.9013,Markevious Brown,CB,FL,Auburn,Warm
318,0.8957,Marquis Robinson,DT,FL,Auburn,X
339,0.8904,Caleb Johnson OT,OT,FL,Auburn,X
352,0.8891,Kamari Lassiter,CB,AL,Auburn,Warm
365,0.8884,Tar'varish Dawson,ATH,FL,Auburn,X
431,0.8791,Deshauwn Alleyne,ILB,FL,Auburn,Warm
491,0.8743,Phillip O'Brien Jr.,S,FL,Auburn,X
510,0.8739,Jarquez Hunter,RB,MS,Auburn,Warm
518,0.8723,Tobechi Okoli,SDE,MO,Auburn,X
545,0.8709,Landen King,TE,TX,Auburn,X
714,0.8614,Garner Langlo,OG,FL,Auburn,X
749,0.8595,George Jackson,OT,GA,Auburn,Offer
780,0.8581,J'Marion Gooch,OT,TN,Auburn,X
2500,0.8578,Alex Lemon,SDE,JUCO,Auburn,Offer
5000,0.87,Brandon Perry,ATH,AL,Auburn,Warm
5000,0.87,Jimmori Robinson,WDE,JUCO,Auburn,Warm
832,0.8566,Kiael Kelly,QB,FL,Ball State,X
